Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
755981,42,7,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755923,8,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755844,4,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755830,416,300,0,44,7,36.31,408.06,3.41,32.9,1240.29,110.39,0,8,462.54
755829,32,8,0,2,1,10.05,10.52,5.14,4.9,214.46,204.92,0,1,10.52
755810,10,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755769,6,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755697,28,28,0,0,0,206.35,213.54,105.48,100.86,211.7,204.57,0,17,213.54
755664,209,180,0,9,1,69.4,69.09,35.53,33.86,203.99,204.92,0,2,69.09
755648,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755594,1019,551,0,58,23,600.66,694.11,383.17,217.48,319.15,276.18,0,69,1339.18
755558,75,60,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755518,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755487,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755485,0,0,0,0,1,16.75,17.48,8.57,8.17,213.83,204.92,0,1,17.48
755434,112,64,0,3,2,65.89,78.12,32.98,32.91,237.33,200.2,0,8,90.67
755408,0,0,0,0,1,-2.84,10.41,-2.84,0.0,0.0,0.0,0,1,10.41
755380,148,62,0,4,2,-89.46,187.68,-127.66,38.19,491.31,-234.2,0,2,187.68
755352,3,1,0,1,1,-0.95,-1.09,-0.95,0.0,0.0,0.0,0,1,43.77
755338,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755333,6,3,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755282,138,68,0,13,3,84.41,83.71,51.77,32.63,256.52,258.67,0,7,270.18
755169,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755142,2,1,0,0,0,217.77,0.0,133.95,83.81,0.0,259.82,0,0,0.0
755129,17,15,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
755038,9,4,0,0,0,281.9,323.68,139.5,142.39,227.31,197.97,0,6,323.68
755033,26,14,0,0,0,21.19,21.02,10.84,10.35,203.08,204.8,0,2,21.02
754989,14,9,0,7,2,195.87,193.64,104.67,91.19,212.34,214.78,0,11,204.11
754886,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754861,21,19,0,2,2,80.83,26.14,75.82,5.01,521.67,1613.28,0,11,376.02
754856,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754833,92,20,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754832,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754823,0,0,0,0,0,-192.9,-189.78,-192.9,0.0,0.0,0.0,0,2,212.79
754821,0,0,0,0,0,-131.65,-211.48,-164.82,33.17,-637.39,-396.79,0,2,251.17
754796,24,7,0,4,2,21.97,21.05,11.52,10.45,201.41,210.3,0,2,21.05
754760,9393,5323,0,441,143,6623.69,7473.57,3672.02,2951.66,253.2,224.41,0,577,19507.64
754741,71,55,0,3,1,17.47,17.5,8.94,8.52,205.27,204.92,0,1,17.5
754688,22,22,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754665,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754660,15645,6964,0,1330,291,54567.97,27203.06,27963.38,26604.59,102.25,205.11,0,708,79507.8
754647,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754590,3,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754506,0,0,0,0,0,10.03,10.37,10.03,0.0,0.0,0.0,0,1,10.37
754499,3,2,0,0,0,0.0,-13.11,0.0,0.0,0.0,0.0,0,0,0.0
754468,116,69,0,10,2,415.24,409.43,231.67,183.57,223.04,226.2,0,27,606.63
754416,150,124,0,3,0,17.97,0.0,13.06,4.9,0.0,366.41,0,0,0.0
754391,25,20,0,3,1,28.68,10.52,13.07,15.6,67.4,183.79,0,1,10.52
754314,3,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754244,71,40,0,2,5,556.38,1155.63,281.71,274.66,420.74,202.57,0,67,1900.13
754222,991,606,0,154,48,360.94,3080.61,-522.97,883.91,348.52,40.83,0,149,4527.86
754193,5,5,0,0,1,3.76,6.66,-6.88,10.65,62.53,35.37,0,4,72.52
754132,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754065,7,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754059,9357,4413,0,589,188,18409.67,19318.51,7329.66,11080.01,174.35,166.15,0,637,37336.27
754029,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
754010,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753989,51,36,0,5,2,7.41,3.61,3.79,3.61,99.76,204.92,0,2,20.9
753982,0,0,0,0,0,66.83,70.16,34.21,32.61,215.13,204.92,0,12,138.53
753976,2,2,0,0,0,9.61,0.0,4.92,4.68,0.0,204.92,0,0,0.0
753910,12,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753875,246,193,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753864,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753818,16,5,0,1,1,10.54,10.43,5.39,5.14,202.66,204.92,0,2,20.86
753749,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753732,0,0,0,0,0,-25.18,0.0,-25.18,0.0,0.0,0.0,0,0,0.0
753575,662,368,0,108,21,1307.64,1725.44,547.85,759.78,227.09,172.11,0,62,2584.5
753555,5,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753552,12,7,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753498,4,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753496,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753452,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753436,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753430,6,1,0,1,1,262.83,262.86,134.57,128.26,204.94,204.92,0,3,262.86
753428,13,7,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753342,141,101,0,16,2,245.95,102.32,123.32,122.62,83.44,200.57,0,14,284.53
753274,95,62,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753255,13,8,0,2,0,17.18,21.02,8.1,9.08,231.49,189.3,0,2,21.02
753247,3979,1776,0,176,74,6738.84,5213.03,2976.15,3762.69,138.55,179.1,0,352,10000.67
753203,6,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753118,301,164,0,17,5,167.96,205.51,39.52,128.44,160.0,130.77,0,16,340.31
753113,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753097,67,40,0,3,15,2723.79,2065.15,1406.74,1317.04,156.8,206.81,0,182,5669.9
753075,16,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753038,12,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753036,5,4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
753000,3,3,0,0,0,222.75,222.07,116.26,106.48,208.54,209.18,0,26,274.15
752985,117,60,0,2,5,199.27,175.86,80.32,118.95,147.84,167.52,0,20,432.66
752980,0,0,0,0,0,393.38,393.28,201.41,191.97,204.87,204.92,0,2,393.28
752956,1134,593,0,22,7,92.9,174.76,43.49,49.4,353.72,188.04,0,15,386.94
752954,3467,2386,0,245,33,2498.62,2703.22,1231.35,1267.27,213.31,197.17,0,139,4917.46
752936,21,18,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752875,495,265,0,43,22,717.55,887.42,429.94,287.6,308.56,249.49,0,53,1537.57
752864,4,3,0,2,1,-5.91,175.27,-5.91,0.0,0.0,0.0,0,1,175.27
752861,148,59,0,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752808,23,20,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752792,286,141,0,18,9,475.6,539.5,243.51,232.08,232.46,204.92,0,15,622.53
752774,6,5,0,2,1,11.31,11.53,5.79,5.51,208.9,204.92,0,1,11.53
752766,4,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752722,8,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752690,4,4,0,3,1,200.08,200.08,102.44,97.63,204.92,204.92,0,2,200.08
752656,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752525,8,5,0,1,1,86.21,87.3,44.13,42.07,207.51,204.92,0,1,174.62
752508,33,16,0,0,0,94.62,121.1,40.89,53.73,225.39,176.12,0,7,121.1
752498,6,6,0,0,0,-3.6,-3.36,-3.6,0.0,0.0,0.0,0,1,66.81
752461,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752381,10,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
752380,2858,858,0,115,55,3980.96,4802.97,2147.5,1833.46,261.96,217.13,0,280,8922.31
752354,55,30,0,9,1,66.2,65.9,40.82,25.37,259.66,260.86,0,5,78.65
752291,69,52,0,6,1,270.95,114.39,232.28,38.67,295.78,700.62,0,19,244.54
752207,136,94,0,10,1,485.63,-2176.46,137.67,347.96,-625.48,139.57,0,61,1602.69
