Month,Affiliate,Hits,Uniques,Installs,Registrations,FTD,PNL,In-Out,Our Profit,Aff Profit,ROI,ROAS,Clicks,Deposit count,Deposit sum
2024-11,430953,190,88,0,16,1,-1.32,10.36,-1.32,0.0,0.0,0.0,0,1,10.36
2024-11,429861,2,1,0,2,1,10.35,10.33,5.38,4.96,208.03,208.33,0,1,10.33
2024-11,428390,51,39,0,1,2,288.74,329.46,134.79,153.94,214.02,187.57,0,13,369.48
2024-11,428373,38,29,0,5,2,20.67,30.95,10.33,10.34,299.29,199.92,0,3,30.95
2024-11,428363,122,56,0,8,4,77.29,166.08,35.32,41.97,395.7,184.16,0,10,186.6
2024-11,426956,14624,8155,0,1903,489,28085.63,29734.44,9751.97,18333.66,162.18,153.19,0,2043,67448.04
2024-12,741230,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,740534,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,740524,15,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,740449,1,1,0,1,1,82.54,145.61,42.92,39.62,367.52,208.33,0,1,145.61
2024-12,740443,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,740413,7,6,0,2,1,4.47,16.18,2.32,2.14,753.52,208.33,0,1,16.18
2024-12,740293,2,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,740254,3,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,740184,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,740173,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,740165,36,32,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440823,7,5,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440759,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440743,3,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440735,8,7,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440734,2,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440719,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440649,7,6,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
2024-12,440590,4,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
